event_id,patron_id,creator_id,post_id,event_type,event_at
ev_0000001,pa_00002,cr_0009,po_00657,view,2023-10-03 00:00:00
ev_0000002,pa_00002,cr_0009,po_00659,view,2023-11-06 00:00:00
ev_0000003,pa_00002,cr_0009,po_00659,view,2023-11-08 00:00:00
ev_0000004,pa_00002,cr_0009,po_00663,view,2023-12-15 00:00:00
ev_0000005,pa_00002,cr_0009,po_00663,view,2023-12-02 00:00:00
ev_0000006,pa_00002,cr_0009,po_00664,view,2023-11-15 00:00:00
ev_0000007,pa_00002,cr_0009,po_00664,view,2023-12-03 00:00:00
ev_0000008,pa_00003,cr_0010,po_00738,view,2023-07-26 00:00:00
ev_0000009,pa_00003,cr_0010,po_00739,view,2023-08-02 00:00:00
ev_0000010,pa_00003,cr_0010,po_00739,view,2023-07-30 00:00:00
ev_0000011,pa_00003,cr_0010,po_00739,view,2023-08-05 00:00:00
ev_0000012,pa_00003,cr_0010,po_00740,view,2023-09-15 00:00:00
ev_0000013,pa_00003,cr_0010,po_00741,view,2023-09-06 00:00:00
ev_0000014,pa_00003,cr_0010,po_00741,view,2023-08-23 00:00:00
ev_0000015,pa_00003,cr_0010,po_00742,view,2023-09-13 00:00:00
ev_0000016,pa_00003,cr_0010,po_00745,view,2023-09-25 00:00:00
ev_0000017,pa_00003,cr_0010,po_00745,like,2023-09-17 00:00:00
ev_0000018,pa_00003,cr_0010,po_00746,view,2023-09-28 00:00:00
ev_0000019,pa_00003,cr_0010,po_00746,comment,2023-09-28 00:00:00
ev_0000020,pa_00003,cr_0010,po_00751,view,2023-11-05 00:00:00
ev_0000021,pa_00003,cr_0010,po_00757,view,2023-12-18 00:00:00
ev_0000022,pa_00003,cr_0010,po_00757,view,2023-12-25 00:00:00
ev_0000023,pa_00003,cr_0010,po_00759,view,2024-01-09 00:00:00
ev_0000024,pa_00003,cr_0010,po_00761,view,2024-03-06 00:00:00
ev_0000025,pa_00003,cr_0010,po_00762,view,2024-02-25 00:00:00
ev_0000026,pa_00003,cr_0010,po_00767,view,2024-05-22 00:00:00
ev_0000027,pa_00003,cr_0010,po_00767,view,2024-05-17 00:00:00
ev_0000028,pa_00003,cr_0010,po_00767,view,2024-05-19 00:00:00
ev_0000029,pa_00003,cr_0010,po_00773,view,2024-07-17 00:00:00
ev_0000030,pa_00003,cr_0010,po_00773,comment,2024-07-04 00:00:00
ev_0000031,pa_00003,cr_0010,po_00773,view,2024-07-23 00:00:00
ev_0000032,pa_00003,cr_0010,po_00774,view,2024-06-27 00:00:00
ev_0000033,pa_00003,cr_0010,po_00774,view,2024-07-03 00:00:00
ev_0000034,pa_00003,cr_0010,po_00775,view,2024-07-10 00:00:00
ev_0000035,pa_00003,cr_0010,po_00775,view,2024-07-11 00:00:00
ev_0000036,pa_00003,cr_0010,po_00779,view,2024-07-14 00:00:00
ev_0000037,pa_00003,cr_0010,po_00780,view,2024-07-29 00:00:00
ev_0000038,pa_00003,cr_0010,po_00780,view,2024-07-31 00:00:00
ev_0000039,pa_00003,cr_0010,po_00787,view,2024-11-02 00:00:00
ev_0000040,pa_00003,cr_0010,po_00791,view,2024-11-24 00:00:00
ev_0000041,pa_00003,cr_0010,po_00794,view,2024-12-12 00:00:00
ev_0000042,pa_00003,cr_0010,po_00795,view,2024-11-15 00:00:00
ev_0000043,pa_00003,cr_0010,po_00801,view,2024-12-17 00:00:00
ev_0000044,pa_00003,cr_0010,po_00801,like,2024-12-24 00:00:00
ev_0000045,pa_00003,cr_0095,po_05732,view,2023-09-18 00:00:00
ev_0000046,pa_00003,cr_0095,po_05732,view,2023-09-10 00:00:00
ev_0000047,pa_00003,cr_0095,po_05734,view,2023-12-18 00:00:00
