pledge_id,patron_id,creator_id,tier_id,pledge_amount_usd,pledge_status,is_first_pledge,started_at,ended_at,pause_started_at,churn_reason
pl_000001,pa_00001,cr_0084,ti_00192,13.54,cancelled,True,2024-05-19 00:00:00,2024-10-16 00:00:00,,payment_failed
pl_000002,pa_00002,cr_0009,ti_00019,12.99,cancelled,True,2023-09-09 00:00:00,2024-02-06 00:00:00,,voluntary
pl_000003,pa_00003,cr_0010,ti_00020,4.45,active,True,2023-07-19 00:00:00,,,
pl_000004,pa_00003,cr_0095,ti_00215,11.92,cancelled,False,2023-07-29 00:00:00,2023-12-26 00:00:00,,voluntary
pl_000005,pa_00004,cr_0340,ti_00836,3.01,cancelled,True,2023-10-20 00:00:00,2024-05-17 00:00:00,,voluntary
pl_000006,pa_00005,cr_0205,ti_00468,4.23,cancelled,True,2023-02-15 00:00:00,2024-05-10 00:00:00,,payment_failed
pl_000007,pa_00005,cr_0176,ti_00402,7.96,cancelled,False,2023-02-13 00:00:00,2023-03-15 00:00:00,,creator_removed
pl_000008,pa_00006,cr_0271,ti_00630,8.34,cancelled,True,2023-07-01 00:00:00,2023-07-31 00:00:00,,payment_failed
pl_000009,pa_00007,cr_0479,ti_01325,3.57,cancelled,True,2023-05-19 00:00:00,2023-08-17 00:00:00,,payment_failed
pl_000010,pa_00008,cr_0213,ti_00487,2.12,cancelled,True,2024-01-15 00:00:00,2024-03-15 00:00:00,,voluntary
pl_000011,pa_00009,cr_0278,ti_00648,13.07,active,True,2023-08-09 00:00:00,,,
pl_000012,pa_00010,cr_0201,ti_00458,4.48,active,True,2024-02-15 00:00:00,,,
pl_000013,pa_00011,cr_0303,ti_00711,44.39,cancelled,True,2023-09-19 00:00:00,2024-01-17 00:00:00,,voluntary
pl_000014,pa_00011,cr_0179,ti_00408,3.57,cancelled,False,2023-09-24 00:00:00,2023-10-24 00:00:00,,voluntary
pl_000015,pa_00012,cr_0486,ti_01353,3.15,active,True,2023-02-21 00:00:00,,,
pl_000016,pa_00013,cr_0289,ti_00674,42.34,cancelled,True,2023-06-01 00:00:00,2024-03-27 00:00:00,,voluntary
pl_000017,pa_00014,cr_0473,ti_01301,3.11,cancelled,True,2023-07-20 00:00:00,2023-08-19 00:00:00,,payment_failed
pl_000018,pa_00015,cr_0417,ti_01099,4.38,cancelled,True,2023-02-05 00:00:00,2024-07-29 00:00:00,,payment_failed
pl_000019,pa_00015,cr_0063,ti_00143,13.66,cancelled,False,2023-02-14 00:00:00,2024-01-10 00:00:00,,payment_failed
pl_000020,pa_00016,cr_0323,ti_00777,2.69,cancelled,True,2023-11-27 00:00:00,2024-03-26 00:00:00,,payment_failed
pl_000021,pa_00017,cr_0289,ti_00672,4.96,cancelled,True,2023-07-31 00:00:00,2023-08-30 00:00:00,,creator_removed
pl_000022,pa_00017,cr_0234,ti_00538,8.85,cancelled,False,2023-08-11 00:00:00,2024-08-05 00:00:00,,voluntary
pl_000023,pa_00018,cr_0242,ti_00557,2.91,cancelled,True,2023-02-09 00:00:00,2023-03-11 00:00:00,,payment_failed
pl_000024,pa_00018,cr_0275,ti_00639,3.89,cancelled,False,2023-02-17 00:00:00,2023-03-19 00:00:00,,payment_failed
pl_000025,pa_00019,cr_0082,ti_00188,11.48,cancelled,True,2023-08-17 00:00:00,2023-10-16 00:00:00,,voluntary
pl_000026,pa_00020,cr_0300,ti_00700,8.54,active,True,2023-05-25 00:00:00,,,
pl_000027,pa_00021,cr_0376,ti_00956,4.69,cancelled,True,2023-04-20 00:00:00,2024-04-14 00:00:00,,voluntary
pl_000028,pa_00021,cr_0170,ti_00389,7.95,active,False,2023-05-05 00:00:00,,,
pl_000029,pa_00021,cr_0279,ti_00650,10.03,cancelled,False,2023-05-05 00:00:00,2023-06-04 00:00:00,,payment_failed
pl_000030,pa_00022,cr_0399,ti_01037,10.65,cancelled,True,2024-05-03 00:00:00,2024-06-02 00:00:00,,payment_failed
pl_000031,pa_00023,cr_0068,ti_00154,2.46,cancelled,True,2023-12-30 00:00:00,2024-01-29 00:00:00,,voluntary
pl_000032,pa_00024,cr_0199,ti_00455,10.05,cancelled,True,2023-09-23 00:00:00,2023-10-23 00:00:00,,voluntary
pl_000033,pa_00024,cr_0475,ti_01309,2.35,active,False,2023-09-23 00:00:00,,,
pl_000034,pa_00025,cr_0157,ti_00357,3.81,cancelled,True,2024-02-18 00:00:00,2024-03-19 00:00:00,,creator_removed
pl_000035,pa_00026,cr_0348,ti_00862,2.65,active,True,2023-11-22 00:00:00,,,
pl_000036,pa_00027,cr_0367,ti_00926,4.61,cancelled,True,2023-11-04 00:00:00,2023-12-04 00:00:00,,voluntary
pl_000037,pa_00028,cr_0462,ti_01259,25.85,cancelled,True,2023-06-27 00:00:00,2024-06-21 00:00:00,,voluntary
pl_000038,pa_00028,cr_0128,ti_00292,8.76,cancelled,False,2023-06-06 00:00:00,2023-09-04 00:00:00,,voluntary
pl_000039,pa_00029,cr_0191,ti_00437,3.79,cancelled,True,2023-09-25 00:00:00,2024-08-20 00:00:00,,payment_failed
pl_000040,pa_00030,cr_0066,ti_00150,8.36,cancelled,True,2023-10-16 00:00:00,2023-11-15 00:00:00,,voluntary
pl_000041,pa_00031,cr_0342,ti_00843,3.35,cancelled,True,2023-06-21 00:00:00,2024-05-16 00:00:00,,voluntary
pl_000042,pa_00031,cr_0406,ti_01063,13.51,cancelled,False,2023-06-09 00:00:00,2024-09-01 00:00:00,,payment_failed
pl_000043,pa_00031,cr_0003,ti_00006,12.13,cancelled,False,2023-06-10 00:00:00,2024-02-05 00:00:00,,voluntary
pl_000044,pa_00032,cr_0176,ti_00401,4.22,cancelled,True,2023-11-29 00:00:00,2024-02-27 00:00:00,,payment_failed
pl_000045,pa_00033,cr_0118,ti_00270,11.6,active,True,2024-02-18 00:00:00,,,
pl_000046,pa_00034,cr_0212,ti_00485,3.23,cancelled,True,2023-06-27 00:00:00,2023-07-27 00:00:00,,voluntary
pl_000047,pa_00034,cr_0065,ti_00147,3.91,active,False,2023-07-13 00:00:00,,,
pl_000048,pa_00035,cr_0083,ti_00189,4.58,active,True,2023-04-27 00:00:00,,,
pl_000049,pa_00036,cr_0183,ti_00420,49.26,active,True,2023-02-04 00:00:00,,,
pl_000050,pa_00037,cr_0042,ti_00096,7.04,cancelled,True,2024-01-14 00:00:00,2024-10-10 00:00:00,,payment_failed
pl_000051,pa_00037,cr_0210,ti_00480,4.27,active,False,2024-01-22 00:00:00,,,
pl_000052,pa_00038,cr_0355,ti_00883,4.67,cancelled,True,2024-03-01 00:00:00,2024-06-29 00:00:00,,voluntary
pl_000053,pa_00039,cr_0174,ti_00397,2.2,cancelled,True,2023-05-28 00:00:00,2023-06-27 00:00:00,,voluntary
pl_000054,pa_00039,cr_0308,ti_00726,10.4,cancelled,False,2023-06-14 00:00:00,2024-03-10 00:00:00,,voluntary
pl_000055,pa_00039,cr_0134,ti_00305,2.02,active,False,2023-06-21 00:00:00,,,
pl_000056,pa_00039,cr_0468,ti_01281,2.03,cancelled,False,2023-06-02 00:00:00,2023-07-02 00:00:00,,voluntary
pl_000057,pa_00040,cr_0372,ti_00942,4.08,cancelled,True,2023-09-09 00:00:00,2023-11-08 00:00:00,,payment_failed
pl_000058,pa_00041,cr_0076,ti_00172,13.39,active,True,2023-06-12 00:00:00,,,
pl_000059,pa_00042,cr_0210,ti_00481,9.87,active,True,2023-06-19 00:00:00,,,
pl_000060,pa_00042,cr_0231,ti_00529,2.52,active,False,2023-06-16 00:00:00,,,
pl_000061,pa_00042,cr_0236,ti_00543,11.96,cancelled,False,2023-05-26 00:00:00,2024-01-21 00:00:00,,voluntary
pl_000062,pa_00042,cr_0454,ti_01225,4.76,active,False,2023-05-28 00:00:00,,,
pl_000063,pa_00043,cr_0345,ti_00853,3.47,cancelled,True,2023-08-18 00:00:00,2024-07-13 00:00:00,,voluntary
pl_000064,pa_00044,cr_0173,ti_00395,3.44,cancelled,True,2023-12-06 00:00:00,2024-04-04 00:00:00,,payment_failed
pl_000065,pa_00045,cr_0389,ti_01000,10.35,active,True,2024-02-01 00:00:00,,,
pl_000066,pa_00045,cr_0131,ti_00299,13.6,cancelled,False,2024-02-09 00:00:00,2024-08-07 00:00:00,,voluntary
pl_000067,pa_00046,cr_0138,ti_00315,14.18,cancelled,True,2023-03-06 00:00:00,2023-12-31 00:00:00,,voluntary
pl_000068,pa_00047,cr_0426,ti_01128,4.63,cancelled,True,2023-04-14 00:00:00,2024-01-09 00:00:00,,voluntary
pl_000069,pa_00048,cr_0336,ti_00824,14.54,active,True,2023-03-13 00:00:00,,,
