post_id,creator_id,title,post_type,access_level,minimum_tier_id,published_at,is_pinned
po_00001,cr_0001,Weekly Newsletter #1,article,patron_only,ti_00001,2023-01-10 00:00:00,True
po_00002,cr_0001,Exclusive Sketch #2,image,patron_only,ti_00002,2023-03-21 00:00:00,False
po_00003,cr_0001,Update Post #3,article,public,,2023-03-07 00:00:00,False
po_00004,cr_0001,Weekly Update #4,video,public,,2023-04-11 00:00:00,False
po_00005,cr_0001,New Article #5,article,public,,2023-04-12 00:00:00,False
po_00006,cr_0001,Final Piece #6,image,patron_only,ti_00001,2023-05-16 00:00:00,False
po_00007,cr_0001,Exclusive Sketch #7,image,patron_only,ti_00002,2023-06-25 00:00:00,False
po_00008,cr_0001,Weekly Newsletter #8,article,patron_only,ti_00001,2023-06-02 00:00:00,False
po_00009,cr_0001,Exclusive Sketch #9,image,patron_only,ti_00002,2023-06-25 00:00:00,False
po_00010,cr_0001,Weekly Newsletter #10,article,patron_only,ti_00001,2023-07-02 00:00:00,False
po_00011,cr_0001,Behind the Scenes #11,video,patron_only,ti_00002,2023-07-08 00:00:00,False
po_00012,cr_0001,Weekly Newsletter #12,article,patron_only,ti_00001,2023-08-15 00:00:00,False
po_00013,cr_0001,New Artwork #13,image,patron_only,ti_00001,2023-08-18 00:00:00,False
po_00014,cr_0001,Thoughts on #14,article,patron_only,ti_00001,2023-08-17 00:00:00,False
po_00015,cr_0001,Special Episode #15,video,public,,2023-09-23 00:00:00,False
po_00016,cr_0001,Update Post #16,article,patron_only,ti_00001,2023-09-07 00:00:00,False
po_00017,cr_0001,Final Piece #17,image,patron_only,ti_00001,2023-09-01 00:00:00,False
po_00018,cr_0001,New Tutorial #18,video,patron_only,ti_00001,2023-09-05 00:00:00,True
po_00019,cr_0001,Exclusive Sketch #19,image,patron_only,ti_00002,2023-09-18 00:00:00,True
po_00020,cr_0001,Exclusive Sketch #20,image,patron_only,ti_00002,2023-09-10 00:00:00,False
po_00021,cr_0001,Weekly Newsletter #21,article,public,,2023-09-20 00:00:00,False
po_00022,cr_0001,Behind the Scenes #22,video,public,,2023-09-19 00:00:00,False
po_00023,cr_0001,New Artwork #23,image,patron_only,ti_00001,2023-10-18 00:00:00,False
po_00024,cr_0001,Weekly Update #24,video,patron_only,ti_00001,2023-10-16 00:00:00,False
po_00025,cr_0001,Special Episode #25,video,patron_only,ti_00001,2023-10-01 00:00:00,False
po_00026,cr_0001,Weekly Newsletter #26,article,patron_only,ti_00001,2023-10-04 00:00:00,False
po_00027,cr_0001,WIP Preview #27,image,patron_only,ti_00002,2023-10-02 00:00:00,False
po_00028,cr_0001,Special Episode #28,video,patron_only,ti_00001,2023-11-28 00:00:00,False
po_00029,cr_0001,Thoughts on #29,article,patron_only,ti_00001,2023-11-25 00:00:00,False
po_00030,cr_0001,Exclusive Sketch #30,image,public,,2023-12-21 00:00:00,False
po_00031,cr_0001,Update Post #31,article,patron_only,ti_00001,2023-12-02 00:00:00,False
po_00032,cr_0001,New Tutorial #32,video,patron_only,ti_00002,2023-12-11 00:00:00,False
po_00033,cr_0001,WIP Preview #33,image,patron_only,ti_00001,2024-01-25 00:00:00,False
po_00034,cr_0001,Update Post #34,article,patron_only,ti_00002,2024-02-25 00:00:00,False
po_00035,cr_0001,Weekly Newsletter #35,article,patron_only,ti_00001,2024-02-11 00:00:00,False
po_00036,cr_0001,Update Post #36,article,patron_only,ti_00002,2024-03-19 00:00:00,False
po_00037,cr_0001,Thoughts on #37,article,patron_only,ti_00001,2024-04-01 00:00:00,False
po_00038,cr_0001,Exclusive Sketch #38,image,patron_only,ti_00001,2024-05-23 00:00:00,False
po_00039,cr_0001,Final Piece #39,image,public,,2024-05-16 00:00:00,False
po_00040,cr_0001,Thoughts on #40,article,public,,2024-05-05 00:00:00,False
po_00041,cr_0001,New Artwork #41,image,patron_only,ti_00001,2024-05-21 00:00:00,False
po_00042,cr_0001,New Article #42,article,public,,2024-06-05 00:00:00,False
po_00043,cr_0001,New Tutorial #43,video,patron_only,ti_00001,2024-07-21 00:00:00,False
po_00044,cr_0001,WIP Preview #44,image,patron_only,ti_00001,2024-08-20 00:00:00,False
po_00045,cr_0001,Final Piece #45,image,patron_only,ti_00002,2024-08-12 00:00:00,False
po_00046,cr_0001,Exclusive Sketch #46,image,public,,2024-09-22 00:00:00,False
po_00047,cr_0001,Exclusive Sketch #47,image,public,,2024-09-10 00:00:00,False
po_00048,cr_0001,WIP Preview #48,image,patron_only,ti_00001,2024-10-05 00:00:00,False
po_00049,cr_0001,Exclusive Sketch #49,image,patron_only,ti_00002,2024-10-15 00:00:00,True
po_00050,cr_0001,Final Piece #50,image,public,,2024-10-01 00:00:00,False
po_00051,cr_0001,Final Piece #51,image,patron_only,ti_00001,2024-10-23 00:00:00,False
po_00052,cr_0001,Thoughts on #52,article,public,,2024-10-02 00:00:00,False
po_00053,cr_0001,Exclusive Sketch #53,image,patron_only,ti_00001,2024-11-08 00:00:00,False
po_00054,cr_0001,New Article #54,article,patron_only,ti_00002,2024-11-11 00:00:00,False
po_00055,cr_0001,New Artwork #55,image,patron_only,ti_00001,2024-11-23 00:00:00,False
po_00056,cr_0001,Weekly Newsletter #56,article,patron_only,ti_00002,2024-12-12 00:00:00,False
po_00057,cr_0001,WIP Preview #57,image,public,,2024-12-09 00:00:00,False
po_00058,cr_0001,New Article #58,article,patron_only,ti_00001,2024-12-13 00:00:00,False
po_00059,cr_0002,Q&A Session #59,audio,patron_only,ti_00004,2023-01-10 00:00:00,False
po_00060,cr_0002,Update Post #60,article,public,,2023-01-23 00:00:00,False
po_00061,cr_0002,Exclusive Sketch #61,image,patron_only,ti_00003,2023-01-12 00:00:00,False
po_00062,cr_0002,Monthly Update #62,audio,patron_only,ti_00003,2023-02-15 00:00:00,False
po_00063,cr_0002,Bonus Content #63,audio,patron_only,ti_00003,2023-02-15 00:00:00,False
po_00064,cr_0002,Bonus Content #64,audio,public,,2023-02-03 00:00:00,False
po_00065,cr_0002,Weekly Newsletter #65,article,patron_only,ti_00003,2023-02-24 00:00:00,False
po_00066,cr_0002,Weekly Newsletter #66,article,patron_only,ti_00003,2023-02-08 00:00:00,False
po_00067,cr_0002,New Artwork #67,image,patron_only,ti_00004,2023-02-12 00:00:00,False
po_00068,cr_0002,Update Post #68,article,patron_only,ti_00003,2023-03-16 00:00:00,False
po_00069,cr_0002,Bonus Content #69,audio,patron_only,ti_00003,2023-03-26 00:00:00,False
po_00070,cr_0002,Monthly Update #70,audio,patron_only,ti_00003,2023-04-25 00:00:00,False
po_00071,cr_0002,Weekly Newsletter #71,article,patron_only,ti_00004,2023-04-18 00:00:00,False
po_00072,cr_0002,Update Post #72,article,public,,2023-04-09 00:00:00,False
po_00073,cr_0002,Bonus Content #73,audio,patron_only,ti_00003,2023-05-05 00:00:00,False
po_00074,cr_0002,Q&A Session #74,audio,patron_only,ti_00004,2023-05-12 00:00:00,False
po_00075,cr_0002,New Artwork #75,image,patron_only,ti_00004,2023-05-23 00:00:00,False
po_00076,cr_0002,WIP Preview #76,image,public,,2023-05-27 00:00:00,False
po_00077,cr_0002,Q&A Session #77,audio,patron_only,ti_00003,2023-05-11 00:00:00,False
po_00078,cr_0002,Thoughts on #78,article,patron_only,ti_00003,2023-05-25 00:00:00,False
po_00079,cr_0002,Thoughts on #79,article,patron_only,ti_00004,2023-05-07 00:00:00,False
po_00080,cr_0002,New Episode #80,audio,patron_only,ti_00004,2023-06-24 00:00:00,False
po_00081,cr_0002,New Artwork #81,image,patron_only,ti_00003,2023-06-23 00:00:00,False
po_00082,cr_0002,Exclusive Sketch #82,image,public,,2023-06-10 00:00:00,False
po_00083,cr_0002,Weekly Newsletter #83,article,public,,2023-07-16 00:00:00,False
po_00084,cr_0002,Update Post #84,article,public,,2023-07-21 00:00:00,False
po_00085,cr_0002,New Article #85,article,patron_only,ti_00003,2023-07-06 00:00:00,False
po_00086,cr_0002,Q&A Session #86,audio,patron_only,ti_00004,2023-07-06 00:00:00,False
po_00087,cr_0002,WIP Preview #87,image,public,,2023-07-18 00:00:00,False
po_00088,cr_0002,New Article #88,article,patron_only,ti_00004,2023-08-06 00:00:00,False
po_00089,cr_0002,New Article #89,article,public,,2023-08-01 00:00:00,False
po_00090,cr_0002,New Artwork #90,image,patron_only,ti_00004,2023-08-28 00:00:00,False
po_00091,cr_0002,Q&A Session #91,audio,patron_only,ti_00004,2023-08-28 00:00:00,False
po_00092,cr_0002,Exclusive Sketch #92,image,patron_only,ti_00003,2023-08-05 00:00:00,False
po_00093,cr_0002,Bonus Content #93,audio,patron_only,ti_00003,2023-08-18 00:00:00,True
po_00094,cr_0002,Q&A Session #94,audio,patron_only,ti_00003,2023-09-27 00:00:00,False
po_00095,cr_0002,New Article #95,article,patron_only,ti_00004,2023-09-15 00:00:00,False
po_00096,cr_0002,WIP Preview #96,image,patron_only,ti_00003,2023-09-17 00:00:00,False
po_00097,cr_0002,Exclusive Sketch #97,image,patron_only,ti_00003,2023-09-27 00:00:00,False
po_00098,cr_0002,Update Post #98,article,public,,2023-10-22 00:00:00,False
po_00099,cr_0002,Monthly Update #99,audio,patron_only,ti_00004,2023-10-26 00:00:00,False
po_00100,cr_0002,WIP Preview #100,image,patron_only,ti_00004,2023-10-19 00:00:00,False
po_00101,cr_0002,Final Piece #101,image,patron_only,ti_00003,2023-10-07 00:00:00,False
po_00102,cr_0002,Bonus Content #102,audio,public,,2023-11-15 00:00:00,False
po_00103,cr_0002,Bonus Content #103,audio,patron_only,ti_00003,2023-11-17 00:00:00,False
po_00104,cr_0002,WIP Preview #104,image,patron_only,ti_00003,2023-11-18 00:00:00,False
po_00105,cr_0002,Q&A Session #105,audio,public,,2023-11-19 00:00:00,False
po_00106,cr_0002,Bonus Content #106,audio,public,,2023-11-21 00:00:00,False
po_00107,cr_0002,Weekly Newsletter #107,article,patron_only,ti_00003,2023-11-08 00:00:00,False
po_00108,cr_0002,Thoughts on #108,article,patron_only,ti_00004,2023-11-09 00:00:00,False
po_00109,cr_0002,New Artwork #109,image,patron_only,ti_00003,2023-11-09 00:00:00,False
po_00110,cr_0002,New Article #110,article,patron_only,ti_00003,2023-12-22 00:00:00,False
po_00111,cr_0002,Q&A Session #111,audio,patron_only,ti_00003,2023-12-05 00:00:00,False
po_00112,cr_0002,Monthly Update #112,audio,patron_only,ti_00003,2023-12-22 00:00:00,False
po_00113,cr_0002,Final Piece #113,image,patron_only,ti_00003,2023-12-22 00:00:00,False
po_00114,cr_0002,Final Piece #114,image,patron_only,ti_00003,2024-01-02 00:00:00,False
po_00115,cr_0002,Update Post #115,article,patron_only,ti_00003,2024-01-05 00:00:00,False
po_00116,cr_0002,Weekly Newsletter #116,article,patron_only,ti_00004,2024-01-22 00:00:00,False
po_00117,cr_0002,Monthly Update #117,audio,public,,2024-01-02 00:00:00,False
po_00118,cr_0002,New Episode #118,audio,patron_only,ti_00004,2024-02-15 00:00:00,False
po_00119,cr_0002,New Article #119,article,patron_only,ti_00004,2024-02-16 00:00:00,False
po_00120,cr_0002,WIP Preview #120,image,public,,2024-02-23 00:00:00,False
po_00121,cr_0002,Update Post #121,article,patron_only,ti_00004,2024-03-09 00:00:00,False
po_00122,cr_0002,Q&A Session #122,audio,patron_only,ti_00003,2024-03-26 00:00:00,False
po_00123,cr_0002,Update Post #123,article,public,,2024-04-13 00:00:00,False
po_00124,cr_0002,Q&A Session #124,audio,patron_only,ti_00003,2024-05-17 00:00:00,False
po_00125,cr_0002,New Article #125,article,public,,2024-05-03 00:00:00,False
po_00126,cr_0002,Bonus Content #126,audio,patron_only,ti_00003,2024-05-12 00:00:00,False
po_00127,cr_0002,WIP Preview #127,image,patron_only,ti_00003,2024-06-02 00:00:00,False
po_00128,cr_0002,New Episode #128,audio,patron_only,ti_00003,2024-06-17 00:00:00,False
po_00129,cr_0002,Q&A Session #129,audio,patron_only,ti_00003,2024-06-28 00:00:00,False
po_00130,cr_0002,Final Piece #130,image,patron_only,ti_00003,2024-06-09 00:00:00,False
po_00131,cr_0002,WIP Preview #131,image,patron_only,ti_00003,2024-06-18 00:00:00,False
po_00132,cr_0002,New Artwork #132,image,patron_only,ti_00003,2024-07-10 00:00:00,False
po_00133,cr_0002,Q&A Session #133,audio,patron_only,ti_00003,2024-07-17 00:00:00,False
po_00134,cr_0002,Thoughts on #134,article,patron_only,ti_00004,2024-07-02 00:00:00,False
po_00135,cr_0002,Exclusive Sketch #135,image,patron_only,ti_00003,2024-07-28 00:00:00,False
po_00136,cr_0002,Update Post #136,article,patron_only,ti_00004,2024-08-17 00:00:00,False
po_00137,cr_0002,New Episode #137,audio,patron_only,ti_00003,2024-08-11 00:00:00,False
po_00138,cr_0002,WIP Preview #138,image,patron_only,ti_00004,2024-09-20 00:00:00,False
po_00139,cr_0002,Update Post #139,article,patron_only,ti_00004,2024-09-07 00:00:00,False
po_00140,cr_0002,Thoughts on #140,article,patron_only,ti_00003,2024-09-13 00:00:00,False
po_00141,cr_0002,New Artwork #141,image,patron_only,ti_00004,2024-10-20 00:00:00,False
po_00142,cr_0002,Final Piece #142,image,patron_only,ti_00003,2024-11-16 00:00:00,False
po_00143,cr_0002,Final Piece #143,image,public,,2024-11-02 00:00:00,False
po_00144,cr_0002,Update Post #144,article,patron_only,ti_00003,2024-11-05 00:00:00,False
