tier_id,creator_id,tier_name,tier_rank,price_usd,description,is_active,created_at,archived_at
ti_00001,cr_0001,Viewer,1,2.81,Viewer tier - Access to exclusive content,True,2021-05-12 00:00:00,
ti_00002,cr_0001,Plus,2,12.52,Plus tier - Access to exclusive content,True,2021-05-13 00:00:00,
ti_00003,cr_0002,Viewer,1,2.52,Viewer tier - Access to exclusive content,True,2022-04-08 00:00:00,
ti_00004,cr_0002,VIP,2,10.44,VIP tier - Access to exclusive content,True,2022-04-09 00:00:00,
ti_00005,cr_0003,Fan,1,2.28,Fan tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00006,cr_0003,Insider,2,12.13,Insider tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00007,cr_0004,Supporter,1,4.03,Supporter tier - Access to exclusive content,True,2021-10-13 00:00:00,
ti_00008,cr_0004,VIP,2,9.5,VIP tier - Access to exclusive content,True,2021-10-10 00:00:00,
ti_00009,cr_0005,Supporter,1,4.6,Supporter tier - Access to exclusive content,True,2021-11-09 00:00:00,
ti_00010,cr_0005,Plus,2,7.85,Plus tier - Access to exclusive content,True,2021-11-11 00:00:00,
ti_00011,cr_0006,Reader,1,4.21,Reader tier - Access to exclusive content,True,2022-06-07 00:00:00,
ti_00012,cr_0006,VIP,2,13.18,VIP tier - Access to exclusive content,True,2022-06-06 00:00:00,
ti_00013,cr_0006,Benefactor,3,31.21,Benefactor tier - Access to exclusive content,True,2022-06-08 00:00:00,
ti_00014,cr_0007,Supporter,1,3.16,Supporter tier - Access to exclusive content,True,2021-06-10 00:00:00,
ti_00015,cr_0007,Premium,2,10.6,Premium tier - Access to exclusive content,True,2021-06-11 00:00:00,
ti_00016,cr_0008,Fan,1,4.52,Fan tier - Access to exclusive content,True,2022-04-11 00:00:00,
ti_00017,cr_0008,Premium,2,14.82,Premium tier - Access to exclusive content,True,2022-04-07 00:00:00,
ti_00018,cr_0009,Listener,1,3.3,Listener tier - Access to exclusive content,True,2021-06-13 00:00:00,
ti_00019,cr_0009,Premium,2,12.99,Premium tier - Access to exclusive content,True,2021-06-13 00:00:00,
ti_00020,cr_0010,Listener,1,4.45,Listener tier - Access to exclusive content,True,2021-02-10 00:00:00,
ti_00021,cr_0010,Insider,2,10.51,Insider tier - Access to exclusive content,True,2021-02-13 00:00:00,
ti_00022,cr_0010,Elite,3,38.4,Elite tier - Access to exclusive content,True,2021-02-10 00:00:00,
ti_00023,cr_0011,Supporter,1,4.14,Supporter tier - Access to exclusive content,True,2021-05-15 00:00:00,
ti_00024,cr_0011,VIP,2,14.02,VIP tier - Access to exclusive content,True,2021-05-17 00:00:00,
ti_00025,cr_0012,Reader,1,3.07,Reader tier - Access to exclusive content,True,2021-09-10 00:00:00,
ti_00026,cr_0012,Insider,2,8.98,Insider tier - Access to exclusive content,True,2021-09-12 00:00:00,
ti_00027,cr_0013,Supporter,1,2.65,Supporter tier - Access to exclusive content,True,2021-11-09 00:00:00,
ti_00028,cr_0013,Plus,2,11.76,Plus tier - Access to exclusive content,True,2021-11-08 00:00:00,
ti_00029,cr_0014,Listener,1,4.47,Listener tier - Access to exclusive content,True,2022-03-13 00:00:00,
ti_00030,cr_0014,Insider,2,11.35,Insider tier - Access to exclusive content,True,2022-03-08 00:00:00,
ti_00031,cr_0014,Hero,3,35.41,Hero tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00032,cr_0015,Supporter,1,4.31,Supporter tier - Access to exclusive content,True,2021-06-10 00:00:00,
ti_00033,cr_0015,Insider,2,8.65,Insider tier - Access to exclusive content,True,2021-06-10 00:00:00,
ti_00034,cr_0016,Supporter,1,4.6,Supporter tier - Access to exclusive content,True,2021-05-16 00:00:00,
ti_00035,cr_0016,Plus,2,13.88,Plus tier - Access to exclusive content,True,2021-05-13 00:00:00,
ti_00036,cr_0017,Listener,1,3.89,Listener tier - Access to exclusive content,True,2022-04-08 00:00:00,
ti_00037,cr_0017,Plus,2,12.64,Plus tier - Access to exclusive content,True,2022-04-09 00:00:00,
ti_00038,cr_0018,Viewer,1,2.43,Viewer tier - Access to exclusive content,True,2022-01-07 00:00:00,
ti_00039,cr_0018,Insider,2,13.6,Insider tier - Access to exclusive content,True,2022-01-07 00:00:00,
ti_00040,cr_0019,Reader,1,2.9,Reader tier - Access to exclusive content,True,2021-08-11 00:00:00,
ti_00041,cr_0019,VIP,2,10.93,VIP tier - Access to exclusive content,True,2021-08-12 00:00:00,
ti_00042,cr_0020,Fan,1,4.29,Fan tier - Access to exclusive content,True,2022-07-05 00:00:00,
ti_00043,cr_0020,Member,2,9.08,Member tier - Access to exclusive content,True,2022-07-09 00:00:00,
ti_00044,cr_0021,Reader,1,2.56,Reader tier - Access to exclusive content,True,2022-02-06 00:00:00,
ti_00045,cr_0021,Member,2,14.05,Member tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00046,cr_0022,Reader,1,2.33,Reader tier - Access to exclusive content,True,2021-05-11 00:00:00,
ti_00047,cr_0022,VIP,2,9.48,VIP tier - Access to exclusive content,True,2021-05-13 00:00:00,
ti_00048,cr_0023,Reader,1,3.61,Reader tier - Access to exclusive content,True,2021-08-13 00:00:00,
ti_00049,cr_0023,VIP,2,9.83,VIP tier - Access to exclusive content,True,2021-08-09 00:00:00,
ti_00050,cr_0024,Reader,1,2.65,Reader tier - Access to exclusive content,True,2022-06-08 00:00:00,
ti_00051,cr_0024,Premium,2,12.06,Premium tier - Access to exclusive content,True,2022-06-06 00:00:00,
